0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
1	ft	fe	fd	fh	fs	fe	fk	fj	fb	fq	fr	ff	fs	fl	fn	fp	fo	fg	fc	fm	
2	ft	ff	fd	fh	fi	fe	fk	fj	fb	fq	fr	ff	fs	fl	fn	fp	fo	fg	fc	fm	
3	mt	me	md	mh	ms	me	mk	mj	mb	mq	mr	mf	ms	ml	mn	mp	mo	mg	mc	mm	
4	tt	tf	td	th	ti	te	tk	tj	tb	tq	tr	tf	ts	tl	tn	tp	to	tg	tc	tm	
5	tt	tf	td	th	ti	te	tk	tj	to	tq	tr	tf	ts	cl	tn	tp	to	tg	tc	tm	
6	lt	le	ld	lh	li	le	lk	lj	la	lq	lr	lf	ls	ll	lp	lp	lo	lg	lc	lm	
7	it	ig	id	ih	ii	ie	ik	ij	io	iq	ir	if	is	il	in	ip	io	ig	ic	im	
8	kt	kf	kd	kh	ks	ke	kk	kj	ka	kq	kr	kf	ks	kl	kn	kj	ko	kg	kc	km	
9	et	ef	ed	eh	ei	ee	ek	ej	ef	eq	er	ef	es	el	en	ep	eb	eg	ec	em	
10	et	ef	ed	eh	ei	ee	ek	ej	ef	eq	er	ef	es	el	en	ep	eo	eg	ec	em	
11	bt	bf	bd	bh	bi	be	bk	bj	bb	bq	br	bf	bs	bl	bn	bp	bo	bg	bc	bm	
12	mt	me	md	mh	mo	me	mk	mj	mb	mq	mr	mf	ms	ml	mn	mp	mo	mg	mc	mm	
13	at	af	ad	ah	ai	ae	ak	aj	aa	aq	ar	af	as	al	an	ap	ao	ag	ac	am	
14	at	af	ad	ah	ai	ae	ak	aj	aa	aq	ar	af	as	al	an	ap	ao	ag	ac	am	
15	gt	gf	gg	gh	gi	ge	gk	gj	gb	gq	gr	gf	gs	gl	gn	gp	go	gg	gc	gm	
16	qt	qf	qd	qh	qs	qe	qk	qj	qb	qq	qr	qf	qs	ql	qn	qp	qb	qg	qc	qm	
17	bt	be	bd	bh	bi	be	bk	bj	bb	bq	br	bf	bs	bl	bn	bp	bo	bg	bc	bm	
18	it	ie	id	ih	ii	ie	ik	ij	ib	iq	ir	if	is	il	in	ip	io	ig	ic	im	
19	ct	ce	cd	ch	cs	ce	ck	cj	cq	cq	cr	cf	cs	cl	cn	cp	co	cg	cc	cm	
20	rt	rf	rd	rh	ri	re	rk	rj	rb	rq	rr	rf	rs	rl	rn	rp	rb	rg	rc	rc	
