0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
1	sq	hb	jh	qn	ib	co	cn	cn	qq	gg	dt	co	cn	cn	bf	co	co	gd	td	fe	
2	sq	hb	jh	qq	ib	lo	no	ll	qq	gg	dt	co	qn	co	bf	go	cd	gg	tt	ff	
3	sq	hb	jh	qn	ib	co	nn	ln	qq	gg	dt	no	qn	nn	bf	co	co	gd	td	ff	
4	hs	hh	hh	hs	hi	hi	hi	hi	hq	hi	hd	hi	hi	hi	hf	hi	hi	hi	ht	hf	
5	sq	hb	jh	qn	ib	lo	nn	lm	qq	gg	dt	co	qn	cn	bf	gn	co	gg	tt	ff	
6	bq	bb	bh	bq	bb	bc	bn	bc	bq	bg	bt	bc	be	be	bf	bg	bc	bg	bt	bf	
7	sf	hf	jf	fq	if	fi	fo	fi	fq	fg	df	fi	fe	fl	ff	fi	fl	fg	ft	ff	
8	sq	hb	jh	qn	ib	co	nn	ln	qq	gg	dt	nn	qn	nn	bf	co	co	gg	td	ff	
9	js	jb	jh	je	jb	jc	jo	jg	jq	jg	jt	jc	je	je	jf	jg	jo	jg	jt	jf	
10	ds	db	dh	dq	db	di	do	di	dq	dg	dd	dg	de	do	df	dg	dc	dg	dt	df	
11	iq	ib	ia	ie	ib	ii	ic	ii	iq	ig	db	il	ic	ic	if	ii	il	ig	it	if	
12	hs	hb	hh	hq	hb	hc	hk	hc	hq	hg	hd	hn	hk	hk	hf	hm	hk	hg	ht	hf	
13	sq	hb	jh	qn	ib	lo	no	lo	qq	gg	dt	no	qn	no	bf	co	cd	gg	td	ff	
14	sq	hb	jh	qn	ib	lo	nn	ln	qq	gg	dt	co	qn	nn	bf	co	co	gg	tt	ff	
15	sq	hb	jh	qn	ib	ld	nd	lm	qq	gg	dt	nd	qo	no	bf	go	cd	gg	td	ff	
16	ss	hs	js	se	is	si	sl	si	sq	sg	ds	sl	sl	sl	sf	si	sl	sg	ss	sf	
17	sq	hb	jh	qn	ib	lo	nn	lo	qq	gg	dt	no	qn	nn	bf	co	co	gg	td	ff	
18	sq	hb	jh	qn	ib	co	nn	ln	qq	gg	dt	nn	qn	nn	bf	co	co	gd	td	ff	
19	sq	hb	jh	qn	ib	ld	no	lo	qq	gg	dt	cd	qn	co	bf	co	cd	gg	tt	ff	
20	sq	hb	jh	qq	ib	lo	no	ll	qq	gg	dt	co	qn	qn	bf	go	co	gg	tt	ff	
